timestamp,worst,bad,good
0,-0.0268829,0.318982,-0.061186
4.00E-05,-6.48E-02,0.269997,-0.0530238
8.00E-05,-1.51E-01,-0.716411,0.0735935
0.00012,-0.143051,1.01616,-0.179009
0.00016,-0.050299,-0.481606,-0.0168718
0.0002,0.124063,-0.697885,0.014743
0.00024,0.154558,0.225987,-0.0919371
0.00028,0.295019,0.672134,-0.149936
0.00032,-0.0161906,-0.393804,0.0976908
0.00036,-0.11938,-0.136239,-0.0276371
0.0004,-0.208434,0.0997222,0.033926
0.00044,-0.14844,-0.519607,0.0175651
0.00048,0.0992357,-0.525324,-0.0576462
0.00052,0.172598,0.815902,-0.341766
0.00056,-0.00591181,-0.509766,0.0933238
0.0006,-0.260047,-0.190966,-0.364403
0.00064,-0.136045,0.50906,-0.438812
0.00068,-0.0753086,-0.514911,0.570015
0.00072,0.159424,-0.703712,0.0254475
0.00076,0.184616,0.945901,-0.126946
0.0008,0.14327,-0.101012,0.0143781
0.00084,-0.077851,0.125802,0.0930076
0.00088,-0.095039,0.0120547,-0.174082
0.00092,-0.0668424,-0.195771,0.0501531
0.00096,-0.0235986,-0.132639,0.0769265
0.001,0.0177354,0.239002,-0.210173
0.00104,-0.0145119,0.0410542,-0.200442
0.00108,-0.157417,-0.244793,0.472689
0.00112,-0.198629,0.224101,-0.755215
0.00116,-0.139645,-0.327363,0.204164
0.0012,-0.177561,-0.0153999,0.809334
0.00124,-0.0419179,-0.345391,0.0848454
0.00128,-0.0113979,0.174192,0.0465281
0.00132,-0.085928,-0.0775104,0.0671586
0.00136,-0.0888231,-0.157904,0.00622808
0.0014,-0.0380618,-0.0481703,-0.0958053
0.00144,0.00260314,-0.485936,0.168912
0.00148,-0.0291819,-0.291126,0.00167866
0.00152,0.132967,0.620497,-0.056296
0.00156,0.059556,0.32937,0.0792985
0.0016,-0.0650299,-0.202607,0.113468
0.00164,0.0147674,0.396845,-0.0681439
0.00168,0.0105585,-0.289411,0.1055
0.00172,0.0477932,-0.713942,-0.00402635
0.00176,0.080004,0.276578,-0.0965717
0.0018,0.176162,0.252687,0.0214455
0.00184,-0.080965,-0.00964622,0.178437
0.00188,0.0230877,0.246873,0.0506396
0.00192,0.0372225,-0.843479,0.0453968
0.00196,0.0375023,0.51631,0.0190005
0.002,0.0402514,-0.368928,-0.142552
0.00204,0.112105,0.692424,-0.11618
0.00208,0.0883608,-0.394546,0.058887
0.00212,-0.0719392,0.575343,0.06222
0.00216,0.0146944,-0.385058,-0.0277222
0.0022,0.0149255,0.261883,-0.0254597
0.00224,-0.0604683,-0.25585,-0.0879838
0.00228,0.0860618,0.0893826,-0.147868
0.00232,0.104065,0.319761,0.0219564
0.00236,-0.109733,0.131374,0.102921
0.0024,-0.0172489,-8.51E-05,0.0999168
0.00244,-0.0300456,-0.345585,0.125413
0.00248,-0.0349599,-0.231716,0.0471971
0.00252,0.0492286,0.00701875,-0.0445818
0.00256,-0.0136361,0.517028,0.111935
0.0026,-0.139706,-0.721411,0.273074
0.00264,-0.17317,0.536369,0.23022
0.00268,-0.00475621,-0.353735,0.217095
0.00272,-0.016665,0.0650907,0.0740192
0.00276,-0.0676938,-0.232276,-0.130194
0.0028,-0.0331961,0.213008,0.0398013
0.00284,-0.0761115,0.11556,0.215672
0.00288,-0.1182,-0.0398986,0.184641
0.00292,0.0149255,-0.439262,0.0521966
0.00296,0.121326,0.0591424,0.0614536
0.003,0.0821206,-0.202473,0.0550917
0.00304,0.0984815,0.374512,0.122773
0.00308,0.0871444,-0.0917182,0.189385
0.00312,-0.00260314,-0.0291698,0.193545
0.00316,0.124525,-0.0614171,0.0496786
0.0032,0.132103,0.0389863,0.0384389
0.00324,0.0710755,-0.303582,-0.0197304
0.00328,0.022078,0.539896,-0.0481703
0.00332,-0.0569285,0.0257516,0.0955621
0.00336,-0.156772,0.0738489,-0.334686
0.0034,-0.117883,0.329322,0.271797
0.00344,0.110037,-0.128442,0.135753
0.00348,0.202571,-0.454054,-0.0218591
0.00352,0.13006,0.376653,-0.203957
0.00356,-0.025557,0.549141,-0.0368697
0.0036,-0.11168,-0.250753,-0.437681
0.00364,-0.175749,0.0467227,0.0042818
0.00368,0.135947,-0.219163,0.488916
0.00372,0.14979,0.216949,-0.150362
0.00376,0.126812,-0.144681,0.0986639
0.0038,0.0437303,0.354246,0.12843
0.00384,-0.018964,0.116898,0.245583
0.00388,-0.0692752,0.0485474,0.149985
0.00392,-0.0452509,-0.0142321,0.228225
0.00396,0.0496908,-0.531296,0.0530116
0.004,0.0157283,-0.598954,0.0621713
0.00404,-0.122323,0.713249,0.169861
0.00408,-0.217812,0.166784,0.164083
0.00412,-0.23972,-0.107422,0.0410907
0.00416,-0.0916209,0.0144024,0.0431343
0.0042,0.0912194,-0.44504,0.0985666
0.00424,0.171199,-0.33392,0.0738733
0.00428,0.0754789,0.199444,0.0570502
0.00432,-0.0338773,-0.105841,0.147868
0.00436,-0.0855023,0.117664,0.153792
0.0044,0.0111789,0.133052,0.100063
0.00444,0.154121,-0.160105,0.117348
0.00448,0.199031,-0.293535,0.103153
0.00452,0.130218,0.0821084,-0.0578165
0.00456,-0.17722,0.463748,-0.0852468
0.0046,-0.230597,-0.0379645,0.0331718
0.00464,-0.112154,-0.13737,0.0226011
0.00468,0.0214333,-0.134281,0.0164217
0.00472,0.089407,-0.219528,-0.0622929
0.00476,0.0396067,-0.11421,-0.188667
0.0048,-0.103153,0.414739,-0.130011
0.00484,-0.194615,0.28519,-0.149802
0.00488,-0.00487785,0.0622321,-0.166455
0.00492,0.0890785,0.0142808,-0.0723162
0.00496,0.163706,0.161164,0.0338165
0.005,0.210234,-0.307426,0.0777415
0.00504,0.0781794,0.618635,0.0340963
0.00508,-0.0970583,0.327315,0.0805393
0.00512,-0.0657597,0.17587,-0.0881784
0.00516,0.0189397,-0.0567704,0.0163974
0.0052,-0.0215793,-0.172294,0.148708
0.00524,-0.089857,-0.00783375,0.0714769
0.00528,-0.112166,-0.00495083,0.0444237
0.00532,-0.153585,0.320503,0.0508951
0.00536,-0.149595,0.0416746,-0.0869011
0.0054,-0.051406,0.0802716,-0.0562595
0.00544,-0.069409,-0.462033,0.15187
0.00548,-0.0166406,-0.19908,0.014293
0.00552,0.048742,0.403706,-0.0258125
0.00556,0.0643244,0.16783,-0.0553837
0.0056,0.0358601,0.0874607,-0.0912803
0.00564,-0.00521845,0.107252,-0.126033
0.00568,0.00737151,-0.163353,0.240839
0.00572,-0.143039,-0.343858,0.21544
0.00576,-0.035629,-0.0456888,-0.0370035
0.0058,0.00504815,0.363296,-0.19099
0.00584,-0.0855752,-0.579248,-0.118711
0.00588,-0.11865,0.150569,-0.242335
0.00592,-0.138587,0.253514,-0.0227228
0.00596,-0.118723,-0.066003,0.00793107
0.006,-0.078666,-0.19807,-0.00932995
0.00604,0.0218834,0.258757,-0.124525
0.00608,0.00216523,-0.193606,-0.0765616
0.00612,-0.100306,0.0371252,-0.201561
0.00616,-0.0124683,0.466193,-0.0751383
0.0062,0.0130644,0.0336949,0.215039
0.00624,0.0485109,0.174605,0.0384754
0.00628,0.0184531,0.119963,0.0121399
0.00632,0.0745788,-0.435953,-0.177987
0.00636,-0.0440101,-0.122348,-0.0906842
0.0064,-0.042003,0.854475,0.00473188
0.00644,-0.150897,0.147272,0.255899
0.00648,-0.219771,-0.0671465,0.149267
0.00652,-0.0834343,0.369135,-0.0285008
0.00656,0.0276493,-0.00705524,-0.180991
0.0066,0.109843,-0.360377,-0.115901
0.00664,-0.0929711,0.525689,-0.134731
0.00668,-0.0213725,0.277891,0.105877
0.00672,-0.162623,-0.662974,0.0568434
0.00676,-0.120231,0.0359331,0.00407501
0.0068,0.000291941,0.780663,-0.106267
0.00684,0.10904,-0.194713,-0.145666
0.00688,-0.0200223,0.0219321,-0.183059
0.00692,-0.103968,0.152697,0.0137334
0.00696,-0.054739,-0.250473,0.0952215
0.007,-0.167343,-0.563787,0.0236594
0.00704,0.0169083,0.47247,-0.221462
0.00708,0.0189397,-0.0856482,-0.113468
0.00712,-0.0558216,-0.314944,-0.397964
0.00716,-0.0898206,0.303266,-0.42694
0.0072,-0.15305,0.0666477,0.494889
0.00724,-0.0180639,-0.32043,0.215903
0.00728,0.0209224,0.0954891,0.0241581
0.00732,0.114794,-0.644509,-0.224065
0.00736,0.00465889,-0.326037,-0.160482
0.0074,-0.111108,0.960924,-0.039558
0.00744,-0.0476351,-0.0537658,0.206852
0.00748,-0.115791,-0.554688,0.118662
0.00752,-0.019037,0.147187,-0.0725352
0.00756,0.0748951,0.261701,-0.105962
0.0076,0.0825342,-0.537719,-0.0775469
0.00764,-0.0342058,0.553216,0.0558337
0.00768,-0.1259,0.257054,0.176795
0.00772,-0.11258,0.109563,0.176661
0.00776,-0.0530116,-0.118115,0.00822301
0.0078,-0.0230269,0.220537,-0.18211
0.00784,0.06385,0.157952,-0.202425
0.00788,-0.0632782,-0.162173,-0.185589
0.00792,-0.027929,0.138879,0.125012
0.00796,-0.0718054,0.129208,0.320624
0.008,-0.0275519,-0.150252,0.141883
0.00804,0.0595073,0.0841277,-0.141518
0.00808,0.00973137,-0.167842,-0.235779
0.00812,0.0371495,0.389486,-0.229235
0.00816,-0.0871079,0.0498733,-0.0981774
0.0082,-0.0186599,-0.0294252,0.124708
0.00824,-0.146056,-0.232555,0.0554566
0.00828,-0.151773,0.101413,-0.103493
0.00832,-0.122676,-0.360718,-0.0918763
0.00836,-0.0471728,-0.0473918,-0.106546
0.0084,0.0505788,0.243941,-0.340853
0.00844,-0.057926,-0.123844,0.372115
0.00848,0.0959756,-0.408413,0.339442
0.00852,0.0151809,-0.449054,-0.0977638
0.00856,0.11556,0.102909,-0.123893
0.0086,0.0390106,-0.571341,-0.111157
0.00864,-0.0116898,0.332679,-0.0688008
0.00868,0.0226498,0.0944308,0.144791
0.00872,-0.0288413,-0.14945,0.313131
0.00876,-0.0067633,-0.52834,0.0342788
0.0088,-0.0360061,0.279899,-0.0452387
0.00884,0.0488272,0.208665,-0.387929
0.00888,-0.071708,0.0891029,-0.170907
0.00892,-0.00701875,0.133563,0.329772
0.00896,-0.0112884,-0.201415,0.336754
0.009,0.0592519,-0.146068,0.167769
0.00904,-0.0263842,-0.150569,-0.0969488
0.00908,-0.0379523,0.0795175,-0.137212
0.00912,-0.0490583,-0.0706619,-0.0738368
0.00916,0.0512965,0.331828,0.169447
